Stations_ID;	Stationsname
1;	Aach
3;	Aachen
44;	Großenkneten
52;	Ahrensburg-Wulfsdorf
61;	Aiterhofen
70;	Albstadt-Ebingen
71;	Albstadt-Badkap
72;	Albstadt-Onstmettingen
73;	Aldersbach-Kriestorf
78;	Alfhausen
91;	Alsfeld-Eifa
93;	Alsfeld-Reibertenrod
96;	Neuruppin-AltRuppin
98;	Altastenberg
102;	LeuchtturmAlteWeser
106;	Altenau
116;	Altenburg
125;	Altenstadt
129;	Altentreptow
131;	Geringswalde-Altgeringswalde
132;	Altglashütte
142;	Altomünster-Maisbrunn
150;	Alzey
151;	Amberg-Unterammersricht
154;	Amerang-Pfaffing
161;	Andernach
164;	Angermünde
167;	Anklam
169;	Annaberg-Buchholz
172;	Annaturm
174;	Annweiler-Bindersbach
175;	Ansbach
176;	Ansbach-Claffheim
177;	Ansbach-Hennenbach
183;	Arkona
184;	Arneburg
185;	Arnis
186;	Arnsberg
191;	Arnstein-Müdesheim
193;	Arolsen-NeuBerich
198;	Artern
202;	Aschaffenburg
207;	Aschersleben
211;	AßlarKlein-Altenstädten
217;	Attenkam
221;	Aui.d.Hallertau-Günzenhausen
222;	Aue
231;	Augsburg(SanktStephan)
232;	Augsburg
243;	Aurich
257;	Baden-Baden-Geroldsau
259;	Müllheim
268;	Baiersbronn-Obertal
273;	Baindt
282;	Bamberg
283;	Bamberg-Altenburg
284;	Bamberg(Sternwarte)
288;	Bargischow-Gnevezin
294;	Barsinghausen-Hohenbostel
298;	Barth
303;	Baruth
314;	Kubschütz,Kr.Bautzen
320;	Heinersreuth-Vollhof
321;	Bayrischzell
326;	Beckum-Unterberg
327;	Bederkesa
330;	Oberzent-Beerfelden
335;	Behrensdorf
342;	Belm
348;	Bendorf
355;	Bensheim
361;	Berchtesgaden(KKst)
365;	Berg/Oberpfalz
368;	Bergen
377;	Bergzabern,Bad
379;	Berka,Bad(Flugplatz)
386;	Berleburg,Bad
390;	Berleburg,Bad-Stünzel
395;	Berlin-Adlershof
399;	Berlin-Alexanderplatz
400;	Berlin-Buch
402;	Berlin-Dahlem(LFAG)
403;	Berlin-Dahlem(FU)
405;	Berlin-Friedrichshagen
407;	Berlin-Frohnau
408;	Berlin-Invalidenstraße
410;	Berlin-Kaniswall
416;	Berlin-Lichtenrade
417;	Berlin-Lichterfelde(Süd)
420;	Berlin-Marzahn
422;	Berlin-Mitte
424;	Berlin-Ostkreuz
425;	Berlin-Rudow
427;	BerlinBrandenburg
429;	Berlin-Spandau
430;	Berlin-Tegel
432;	Berlin-TegelerFliesstal
433;	Berlin-Tempelhof
434;	Berlin-Treptow
435;	Berlin-Zehlendorf
445;	Bernburg/Saale(Nord)
450;	Bernkastel-Kues
458;	Bertrich,Bad
460;	Berus
474;	Warthausen-Birkenhard
480;	Biedenkopf-Wallau
502;	Bischbrunn
508;	Bischofsgrün
524;	Bitterfeld
526;	Blankenburg,Bad
535;	Blankenrath
550;	Bobeck
553;	Bocholt(Marienschule)
554;	Bocholt-Liedern(Wasserwerk)
555;	Bochum
570;	Bodenmais-Mais
576;	Böblingen
578;	Böhming
588;	Boffzen
591;	Boizenburg
592;	Bokel
594;	Boll,Bad(KKst)
596;	Boltenhagen
598;	Bonn
599;	Bonn-Friesdorf
603;	Königswinter-Heiderhof
604;	Bonndorf/Schwarzwald
606;	Boos
614;	Borgentreich-Bühne
617;	BorkeninWestfalen
619;	Borkum-Süderstraße
634;	Boxberg-Seehof
642;	Brake
643;	Brake-Süderfeld
645;	Bramsche
648;	Brande-Hörnerkirchen
650;	Brandenburg-Görden
652;	Hagenbüchach
656;	Braunlage
657;	Braunlage-Hohegeiß
660;	Braunschweig-Gliesmarode
661;	Braunschweig(T.H.)
662;	Braunschweig
685;	Breitsol
691;	Bremen
699;	Bremen-Seefahrtschule
701;	Bremerhaven
702;	Bremerhaven-Speckenbüttel
703;	Bremervörde(A)
704;	Bremervörde
705;	Bremervörde-Niederochtenhausen
706;	Eschbach
710;	Bretten
717;	Brilon
722;	Brocken
727;	Brombachtal-Kirch-Brombach
729;	Brotterode
736;	Brücken
755;	Buchen,Kr.Neckar-Odenwald
757;	Buchenbach
760;	Rosengarten-Klecken
766;	Büchel(Flugplatz)
769;	Bückeburg
771;	Büdingen
772;	Bühlertal
773;	Bühlertal-Obertal
793;	Buhlenberg
807;	Schlüsselfeld(Kläranlage)
817;	Burgwald-Bottendorf
829;	Butzbach-Bodenrod
833;	Neuhausen/Erzgeb.-Rauschenbach(Talsp.)
840;	Carlsfeld
848;	Celle(Stadt)
850;	Celle
851;	Pemfling-Pitzling
853;	Chemnitz
856;	Chieming
863;	Clausthal-Zellerfeld
865;	Cloppenburg
867;	Lautertal-Oberlauter
876;	Collmberg
879;	Cottbus(Flugplatz)
880;	Cottbus
881;	Crailsheim-Alexandersreut
888;	Crimmitschau
891;	Cuxhaven
896;	Dachwig
917;	Darmstadt
918;	Darmstadt(A)
919;	Darmstadt-BotanischerGarten
920;	Darmstadt(US-Air-Base)
927;	Daun
931;	Deggenhausertal-Azenweiler
948;	Dessau
953;	Deuselbach
954;	UFSDeutscheBucht
963;	Diepholz
964;	Dierfeld
965;	Diesbar-Seußlitz
970;	Dietenhofen
979;	Dillenburg
982;	Dillingen/Donau
983;	Dillingen/Donau-Fristingen
991;	Dippoldiswalde-Reinberg
998;	Dobel
1000;	Doberan,Bad-Heiligendamm
1001;	Doberlug-Kirchhain
1003;	Döbeln
1006;	Dömitz
1018;	Donaueschingen
1032;	Dortmund
1047;	Dresden(Mitte)
1048;	Dresden-Klotzsche
1050;	Dresden-Hosterwitz
1051;	Dresden-Strehlen
1052;	DrewitzbeiBurg
1053;	Driburg,Bad
1066;	Duderstadt
1072;	Dürkheim,Bad
